"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","24091","setup provider+coordinator authentication","auth-provider-coordinator","2026-02-26","passed","2026-02-26","Provider+Coordinator Authentication Setup @provider-coordinator","setup/auth-provider-coordinator.js","",""
"","11912","setup patient authentication","auth-patient","2026-02-26","passed","2026-02-26","Patient Authentication Setup @patient","setup/auth-patient.js","",""
"","12935","setup provider authentication","auth-provider","2026-02-26","passed","2026-02-26","Provider Authentication Setup @provider","setup/auth-provider.js","",""
"","14666","setup coordinator authentication","auth-coordinator","2026-02-26","passed","2026-02-26","Coordinator Authentication Setup @coordinator","setup/auth-coordinator.js","",""
"","12500","setup device authentication","auth-device","2026-02-26","passed","2026-02-26","Device Authentication Setup @device","setup/auth-device.js","",""
"","29607","setup provider+admin authentication","auth-provider-admin","2026-02-26","passed","2026-02-26","Provider+Admin Authentication Setup @provider-admin","setup/auth-provider-admin.js","",""
"","29506","setup provider+admin+coordinator authentication","auth-provider-admin-coordinator","2026-02-26","passed","2026-02-26","Provider+Admin+Coordinator Authentication Setup @provider-admin-coordinator","setup/auth-provider-admin-coordinator.js","",""
"","17158","setup coordinator authentication","auth-coordinator-two","2026-02-26","passed","2026-02-26","Coordinator Authentication Setup @coordinator2","setup/auth-coordinator-two.js","",""
"","19522","setup super admin authentication","auth-super-admin","2026-02-26","passed","2026-02-26","Super Admin Authentication Setup @super-admin","setup/auth-super-admin.js","",""
"","13065","setup admin authentication","auth-admin","2026-02-26","passed","2026-02-26","Admin Authentication Setup @admin","setup/auth-admin.js","",""
"","13980","setup admin authentication","auth-admin-coordinator","2026-02-26","passed","2026-02-26","Admin Authentication Setup @admin-coordinator","setup/auth-admin-coordinator.js","",""
"","13135","setup admin authentication","auth-admin-two","2026-02-26","passed","2026-02-26","Admin Authentication Setup @admin2","setup/auth-admin-two.js","",""
"","20614","setup provider authentication","auth-provider-two","2026-02-26","passed","2026-02-26","Provider Authentication Setup @provider2","setup/auth-provider-two.js","",""
"","18337","setup patient authentication","auth-patient-two","2026-02-26","passed","2026-02-26","Patient Authentication Setup @patient2","setup/auth-patient-two.js","",""
"","23579","setup device authentication","auth-device-two","2026-02-26","passed","2026-02-26","Device Authentication Setup @device2","setup/auth-device-two.js","",""
