"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","12855","setup provider authentication","auth-provider","2026-02-26","passed","2026-02-26","Provider Authentication Setup @provider","setup/auth-provider.js","",""
"","9530","setup patient authentication","auth-patient-two","2026-02-26","passed","2026-02-26","Patient Authentication Setup @patient2","setup/auth-patient-two.js","",""
"","8961","setup provider authentication","auth-provider-two","2026-02-26","passed","2026-02-26","Provider Authentication Setup @provider2","setup/auth-provider-two.js","",""
"","9795","setup device authentication","auth-device-two","2026-02-26","passed","2026-02-26","Device Authentication Setup @device2","setup/auth-device-two.js","",""
"","9340","setup provider+admin authentication","auth-provider-admin","2026-02-26","passed","2026-02-26","Provider+Admin Authentication Setup @provider-admin","setup/auth-provider-admin.js","",""
"","10400","setup patient authentication","auth-patient","2026-02-26","passed","2026-02-26","Patient Authentication Setup @patient","setup/auth-patient.js","",""
"","9114","setup admin authentication","auth-admin","2026-02-26","passed","2026-02-26","Admin Authentication Setup @admin","setup/auth-admin.js","",""
"","12185","setup admin authentication","auth-admin-two","2026-02-26","passed","2026-02-26","Admin Authentication Setup @admin2","setup/auth-admin-two.js","",""
"","956","verify auth files contain valid storage state","smoke","2026-02-26","passed","2026-02-26","Authentication Setup Verification","smoke/auth-verification.spec.js","",""
"","10448","setup device authentication","auth-device","2026-02-26","passed","2026-02-26","Device Authentication Setup @device","setup/auth-device.js","",""
"","8077","setup coordinator authentication","auth-coordinator","2026-02-26","passed","2026-02-26","Coordinator Authentication Setup @coordinator","setup/auth-coordinator.js","",""
"","3","verify all authentication files are created","smoke","2026-02-26","passed","2026-02-26","Authentication Setup Verification","smoke/auth-verification.spec.js","",""
"","9392","setup provider+admin+coordinator authentication","auth-provider-admin-coordinator","2026-02-26","passed","2026-02-26","Provider+Admin+Coordinator Authentication Setup @provider-admin-coordinator","setup/auth-provider-admin-coordinator.js","",""
"","12815","setup coordinator authentication","auth-coordinator-two","2026-02-26","passed","2026-02-26","Coordinator Authentication Setup @coordinator2","setup/auth-coordinator-two.js","",""
"","11920","setup provider+coordinator authentication","auth-provider-coordinator","2026-02-26","passed","2026-02-26","Provider+Coordinator Authentication Setup @provider-coordinator","setup/auth-provider-coordinator.js","",""
"","7417","setup admin authentication","auth-admin-coordinator","2026-02-26","passed","2026-02-26","Admin Authentication Setup @admin-coordinator","setup/auth-admin-coordinator.js","",""
"","12889","setup super admin authentication","auth-super-admin","2026-02-26","passed","2026-02-26","Super Admin Authentication Setup @super-admin","setup/auth-super-admin.js","",""
