"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","5076","Verify My Account View for Device ID User Displays Correct Fields @[115333] @device @ui","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/device-id-my-account-and-edit.spec.js","",""
"","10384","Verify Save Changes Validation for Incomplete Times on Edit Daily Availability Modal @[111237] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-calendar.spec.js","",""
"","5165","Verify Forgot Password Link on Password Page @[111171] @unauthenticated @ui","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/forgot-password.spec.js","",""
"","7698","Verify Cancel Button Functionality on Change Time Zone Modal @[111243] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/change-time-zone.spec.js","",""
"","0","Verify Time Pass Functionality on Password Changed Page @[111177] @unauthenticated @functional @email","single-unauthenticated","2026-02-26","skipped","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/create-new-password.spec.js","",""
"","7577","Verify Error Message Displays When Saving Phone Number Currently Being Used @[118975] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-profile.spec.js","",""
"","3293","Verify Language Dropdown Opens @[115018] @device @ui","single-unauthenticated","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/unauthenticated/device-id-access.spec.js","",""
"","7797","Verify Medical specialties dropdown functionality in Edit profile details slide out @[114117] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-profile.spec.js","",""
"","11265","Verify Save changes button with valid values @[111277] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-notifications.spec.js","",""
"","4800","Verify Save Changes button state for manual DOB entry @[111223] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","9526","[Negative] Verify the validation of the Last name field on the Before we get started page @[112508] @provider @functional @e2e","single-provider","2026-02-26","passed","2026-02-26","Provider - English @regression","single-user-tests/provider/create-account-onboard-provider.spec.js","",""
"","2367","Verify Login Screen Display @[117346] @unauthenticated @ui","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/login.spec.js","",""
"","5163","Verify View on Calendar Screen @[111230] @provider @ui","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-calendar.spec.js","",""
"","8829","Verify Save Changes button when editing text fields @[111218] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","4","verify all authentication files are created","smoke","2026-02-26","passed","2026-02-26","Authentication Setup Verification","smoke/auth-verification.spec.js","",""
"","0","Verify Password page updates to reflect the White Label Configuration settings @[115395] @unauthenticated @functional","single-unauthenticated","2026-02-26","skipped","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/password.spec.js","",""
"","1156","verify auth files contain valid storage state","smoke","2026-02-26","passed","2026-02-26","Authentication Setup Verification","smoke/auth-verification.spec.js","",""
"","8031","Verify navigation away from the Edit Profile screen @[111269] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","8865","Verify content on Edit License to Practice modal @[111209] @provider @ui","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/provider-edit-license-to-practice.spec.js","",""
"","0","Verify Automatic Time Zone toggle functionality - toggle OFF @[111241] @provider @functional","single-provider","2026-02-26","skipped","2026-02-26","Provider @regression","single-user-tests/provider/change-time-zone.spec.js","",""
"","6869","[Negative] Verify Error Message When Device ID Field Is Left Empty on Onboarding Screen @[115403] @device @functional","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/create-account-onboard-device-id.spec.js","",""
"","8898","Verify Optional Address Fields Are Displayed and Editable @[115337] @device @functional","single-device","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/device/device-id-my-account-and-edit.spec.js","",""
"","8046","Verify initial state of Change time zone modal @[115565] @provider @ui","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/change-time-zone.spec.js","",""
"","3123","Verify Device ID Link Opens Correct URL With /device @[115022] @device @ui","single-unauthenticated","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/unauthenticated/device-id-access.spec.js","",""
"","7839","Verify Cancel Button Functionality on Edit Daily Availability Modal @[111236] @provider @functional","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/manage-calendar.spec.js","",""
"","10815","Verify Patient View Additional Fields and Content Display on Account Settings Page @[118042] @patient @ui","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-my-account-pt2.spec.js","",""
"","4869","Verify Content of Time zone sub-section @[115559] @provider @ui","single-provider","2026-02-26","passed","2026-02-26","Provider @regression","single-user-tests/provider/change-time-zone.spec.js","",""
"","5407","[Negative] Verify Large Image Upload for Avatar @[112291] @patient @functional","single-patient","2026-02-26","passed","2026-02-26","Patient @regression","single-user-tests/patient/patient-edit-profile.spec.js","",""
"","2947","Process Log In with Valid Password on Password Page @[111169] @unauthenticated @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Unauthenticated @regression","single-user-tests/unauthenticated/password.spec.js","",""
"","7852","Verify Successful and Failed Device ID Verification @[115017] @device @functional","single-unauthenticated","2026-02-26","passed","2026-02-26","Device_ID @regression","single-user-tests/unauthenticated/device-id-access.spec.js","",""
