"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10632","setup provider authentication","auth-provider","2026-02-26","passed","2026-02-26","Provider Authentication Setup @provider","setup/auth-provider.js","",""
"","13536","setup provider+admin+coordinator authentication","auth-provider-admin-coordinator","2026-02-26","passed","2026-02-26","Provider+Admin+Coordinator Authentication Setup @provider-admin-coordinator","setup/auth-provider-admin-coordinator.js","",""
"","10844","setup device authentication","auth-device-two","2026-02-26","passed","2026-02-26","Device Authentication Setup @device2","setup/auth-device-two.js","",""
"","9615","setup coordinator authentication","auth-coordinator-two","2026-02-26","passed","2026-02-26","Coordinator Authentication Setup @coordinator2","setup/auth-coordinator-two.js","",""
"","18093","setup device authentication","auth-device","2026-02-26","passed","2026-02-26","Device Authentication Setup @device","setup/auth-device.js","",""
"","10799","setup coordinator authentication","auth-coordinator","2026-02-26","passed","2026-02-26","Coordinator Authentication Setup @coordinator","setup/auth-coordinator.js","",""
"","4","verify all authentication files are created","smoke","2026-02-26","passed","2026-02-26","Authentication Setup Verification","smoke/auth-verification.spec.js","",""
"","4568","setup patient authentication","auth-patient","2026-02-26","passed","2026-02-26","Patient Authentication Setup @patient","setup/auth-patient.js","",""
"","13015","setup admin authentication","auth-admin-two","2026-02-26","passed","2026-02-26","Admin Authentication Setup @admin2","setup/auth-admin-two.js","",""
"","15734","setup provider authentication","auth-provider-two","2026-02-26","passed","2026-02-26","Provider Authentication Setup @provider2","setup/auth-provider-two.js","",""
"","5798","setup admin authentication","auth-admin","2026-02-26","passed","2026-02-26","Admin Authentication Setup @admin","setup/auth-admin.js","",""
"","12596","setup provider+admin authentication","auth-provider-admin","2026-02-26","passed","2026-02-26","Provider+Admin Authentication Setup @provider-admin","setup/auth-provider-admin.js","",""
"","18526","setup super admin authentication","auth-super-admin","2026-02-26","passed","2026-02-26","Super Admin Authentication Setup @super-admin","setup/auth-super-admin.js","",""
"","6127","setup provider+coordinator authentication","auth-provider-coordinator","2026-02-26","passed","2026-02-26","Provider+Coordinator Authentication Setup @provider-coordinator","setup/auth-provider-coordinator.js","",""
"","10455","setup admin authentication","auth-admin-coordinator","2026-02-26","passed","2026-02-26","Admin Authentication Setup @admin-coordinator","setup/auth-admin-coordinator.js","",""
"","10048","setup patient authentication","auth-patient-two","2026-02-26","passed","2026-02-26","Patient Authentication Setup @patient2","setup/auth-patient-two.js","",""
"","1115","verify auth files contain valid storage state","smoke","2026-02-26","passed","2026-02-26","Authentication Setup Verification","smoke/auth-verification.spec.js","",""
